symbol,c,v,q_bid,px_bid,px_ask,q_ask,q_op,pct_change
BNA6D,"25,93",54500,6175,"25,6","25,93",3076,32,"0,81"
D30A6,137920,107404571,100000,137920,138050,766472,642,"-0,49"
D30S6,137300,1637084,1000,137300,137800,2650,155,"0,21"
LBA26,"98,94",45574,300000,"97,5","99,06",205173,28,"0,03"
M31G6,"117,85",2516010304,100000,"117,751","117,85",54283187,355,"-0,12"
S15Y6,"102,919",44680376280,1000000,"102,889","102,919",373251753,556,"0,18"
S17A6,"109,66",111800375725,4994631730,"109,66","109,667",53030314,3548,"0,08"
S17L6,"100,93",77437153500,45515050,"100,929","100,94",39718197,814,"0,33"
S29Y6,128,23605054708,500000000,128,"128,06",4797522,1051,"0,27"
S2L6D,"0,071",1098883,32856,"0,07","0,072",98901395,13,0
S2Y6D,"0,073",43146,50000000,"0,072","0,073",9955260,7,0
S30A6,"126,059",5368177345,3770402,"125,98","126,06",1000000,869,"0,13"
S30N6,"109,8",15863325954,500000000,"109,7","109,8",1003012431,472,"0,13"
S30O6,"117,99",1453512138,47488383,"117,65",118,6305,524,"1,01"
S30S6,"104,05",5230743762,178514,104,"104,05",1233482,189,"0,43"
S31G6,"115,15",21427115149,7483064,"115,05","115,15",23198426,487,"0,17"
S31L6,"109,1",5201193864,1999999,"109,1","109,44",7148784,381,"0,13"
SL6D,"0,078",18381,50000000,"0,076","0,078",49976924,2,"1,29"
X15Y6,"105,5",99297176584,1000000000,"105,47","105,5",1898018523,407,"0,18"
X29Y6,"114,071",31501593753,224185171,"114,071","114,1",16304348,480,"0,31"
X2Y6D,"0,075",0,1000000,"0,073","0,075",5000,5,"1,35"
X30N6,"111,6",18285504485,492262960,"111,6","111,8",518194944,311,"0,47"
X30S6,"104,4",4567029487,13178318,104,"104,4",74994879,129,"0,86"
X31L6,"109,48",3092475101,497919401,"109,3","109,45",1000000000,485,"0,71"
XL6D,"0,078",6410,50000000,"0,075","0,078",49993590,0,"1,29"
XN6D,"0,079",0,15000000,"0,077","0,079",15000000,1,"1,28"
